Success,Timesteps
0.0,0
1.0,397
0.0,513
0.0,579
0.0,579
1.0,345
1.0,285
1.0,315
1.0,414
1.0,342
1.0,339
1.0,435
1.0,447
1.0,375
1.0,366
0.0,453
1.0,285
1.0,216
1.0,294
1.0,315
0.0,729
0.0,213
0.0,321
1.0,339
0.0,711
1.0,306
1.0,315
1.0,279
1.0,411
0.0,354
1.0,396
1.0,384
1.0,366
1.0,438
1.0,273
1.0,459
1.0,327
1.0,330
0.0,366
1.0,465
0.0,414
1.0,297
1.0,582
0.0,480
1.0,495
0.0,720
0.0,336
1.0,372
0.0,480
1.0,387
1.0,282
0.0,435
1.0,327
1.0,357
1.0,282
1.0,384
1.0,372
1.0,339
1.0,390
1.0,375
1.0,339
1.0,345
1.0,303
1.0,399
0.0,459
1.0,405
1.0,306
1.0,327
1.0,393
1.0,351
1.0,360
1.0,441
1.0,360
1.0,483
1.0,378
0.0,498
1.0,282
0.0,477
1.0,417
1.0,300
1.0,318
1.0,336
0.0,399
1.0,333
1.0,324
0.0,369
0.0,540
0.0,423
1.0,489
1.0,333
1.0,282
1.0,480
1.0,279
0.0,621
1.0,465
0.0,408
1.0,276
1.0,393
1.0,828
1.0,513
