A, B, C
1,10000,0.18712145557403564
2,20000,0.1750883767515421
3,30000,0.17032311612218617
4,40000,0.1662924646064639
5,50000,0.1614310394100845
6,60000,0.157108803858608
7,70000,0.1508373595200479
8,80000,0.1455892746850848
9,90000,0.13938093382455408
10,100000,0.1336348580688238
11,110000,0.12838326393961907
12,120000,0.12282957106903196
13,130000,0.11782317688800395
14,140000,0.11310396789424121
15,150000,0.10875792427957058
16,160000,0.10496430484950542
17,170000,0.10125563983172178
18,180000,0.09800975033659488
19,190000,0.09445057193376125
20,200000,0.09187559929937124
21,210000,0.08903420107048005
22,220000,0.08666343809813261
23,230000,0.08418310463968665
24,240000,0.08237004115600138
25,250000,0.0808011825202033
26,260000,0.07897949435925111
27,270000,0.07738034220756963
28,280000,0.07572277411790565
29,290000,0.07497473305277526
30,300000,0.07407305359318853
31,310000,0.07228183035515248
32,320000,0.07187511540884152
33,330000,0.07144322981471196
34,340000,0.07055250834999606
35,350000,0.06962941483287141
36,360000,0.06842392549840734
37,370000,0.06803658428974449
38,380000,0.0675436830044724
39,390000,0.06659846892049535
40,400000,0.06632670604055747
41,410000,0.06621559154978023
42,420000,0.06540843734121882
43,430000,0.06531786470962689
44,440000,0.06456410277346149
45,450000,0.06451847742092795
46,460000,0.06426080820509232
47,470000,0.06353851375873201
48,480000,0.06359024332137779
49,490000,0.06274826104566456
50,500000,0.06310015306323767
51,510000,0.06319675796413794
52,520000,0.0627908082837239
53,530000,0.06194032631928567
54,540000,0.06261208012821153
55,550000,0.06210482452491997
56,560000,0.06173136572409421
57,570000,0.061409310634899884
58,580000,0.061739839364704674
59,590000,0.06123880011152942
60,600000,0.06055840543720405
61,610000,0.06094574135383591
62,620000,0.06088367235120386
63,630000,0.06082012949511409
64,640000,0.06041888160483213
65,650000,0.06048428858438274
66,660000,0.060182687960378824
67,670000,0.0599814162267372
68,680000,0.06035921010505408
69,690000,0.06002532356260344
70,700000,0.059598165023699405
71,710000,0.05997644904453773
72,720000,0.05976431087153032
73,730000,0.05989762526906561
74,740000,0.059868376172333954
75,750000,0.059257872311677784
76,760000,0.059362480954243804
77,770000,0.05943077679474373
78,780000,0.05958707175307209
79,790000,0.05944693661930505
80,800000,0.059301917658327145
81,810000,0.059337535347696396
82,820000,0.0591530056558433
83,830000,0.059001585671748034
84,840000,0.059108346188743596
85,850000,0.059005181459255984
86,860000,0.0586862833987223
87,870000,0.058811067786463535
88,880000,0.05864568141428754
89,890000,0.05893792166426429
90,900000,0.05852344749616459
91,910000,0.05860630011160392
92,920000,0.059019074186123906
93,930000,0.058295492985122835
94,940000,0.05840314577810932
95,950000,0.05819677079292014
96,960000,0.05860232735711616
97,970000,0.058021665627369656
98,980000,0.05805961849179585
99,990000,0.05843865511778276
100,1000000,0.05805561624194961
